,Unnamed: 0,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z,donor,sample,position_along_hipp_AP_axis
12,533,4256,15,5812,CX,CA3,"CA3 field, left",1013075,118,97,108,-26.4,-34.8,-6.0,-29.333853241469694,-34.886643849321,-7.97516084423433,10021,534,93
13,534,4254,15,5796,CX,CA1,"CA1 field, left",1013078,119,99,108,-27.5,-34.9,-8.3,-30.2078439609073,-34.9914082261943,-10.5390343008422,10021,535,93
14,535,4251,15,5788,CX,S,"subiculum, left",1013079,111,98,108,-18.6,-34.7,-7.1,-21.6633317617316,-33.5465043756204,-8.24955544830881,10021,536,93
15,538,4263,15,5772,CX,CA1,"CA1 field, right",1025433,73,100,105,24.0,-30.8,-9.7,26.2105291755412,-30.3310771019664,-10.817126570260902,10021,539,96
16,544,4267,15,5811,CX,DG,"dentate gyrus, right",1011787,75,97,105,21.7,-30.7,-6.2,23.4128125485144,-30.298052965631104,-7.60648415113929,10021,545,94
17,545,4266,15,5803,CX,CA4,"CA4 field, right",1011834,74,98,105,22.9,-30.7,-7.4,24.6988474370733,-30.219962037119604,-8.589005659911692,10021,546,95
18,546,4265,15,5795,CX,CA3,"CA3 field, right",1011789,72,98,105,25.1,-30.7,-7.4,27.076019779894896,-30.1593164001575,-8.53988342125017,10021,547,94
19,547,4264,15,5857,CX,CA2,"CA2 field, right",1011790,69,98,105,28.5,-30.6,-7.4,30.8623778911378,-30.2686817282312,-8.72433620504084,10021,548,95
20,548,4263,15,5787,CX,CA1,"CA1 field, right",1011791,74,100,105,22.9,-30.8,-9.7,25.059511945552,-30.2617582986963,-10.6953406786101,10021,549,96
21,557,4258,14,5786,CX,DG,"dentate gyrus, left",1007812,119,98,102,-27.6,-28.3,-7.7,-30.1650136488218,-27.5741419288225,-9.27463606631708,10021,558,98
22,558,4254,14,5849,CX,CA1,"CA1 field, left",1007815,122,99,102,-31.0,-28.4,-8.9,-33.93669640440509,-27.645685952628607,-10.624294776358001,10021,559,98
