x,y,z,ind,surface
56,100,62,110,0.0
56,100,63,110,0.0
56,100,64,121,1.0
56,101,55,116,1.0
56,101,56,116,1.0
56,101,57,119,0.0
56,101,58,119,0.0
56,101,59,119,0.0
56,101,60,164,0.0
56,101,61,164,0.0
56,101,62,110,0.0
56,101,63,110,1.0
56,101,64,121,1.0
56,102,54,116,1.0
56,102,55,116,1.0
56,102,56,116,0.0
56,102,57,119,0.0
56,102,58,119,0.0
56,102,59,119,0.0
56,102,60,119,0.0
56,102,61,119,0.0
56,102,62,110,1.0
56,102,63,110,1.0
56,103,54,116,1.0
56,103,55,116,1.0
56,103,56,116,0.0
56,103,57,119,0.0
56,103,58,119,0.0
56,103,59,119,0.0
56,103,60,119,0.0
56,103,61,119,0.0
56,103,62,119,1.0
56,103,63,110,1.0
56,104,53,26,1.0
56,104,54,116,1.0
56,104,55,116,0.0
56,104,56,116,0.0
56,104,57,119,0.0
56,104,58,119,0.0
56,104,59,119,0.0
56,104,60,119,0.0
56,104,61,119,1.0
56,104,62,119,1.0
56,105,52,28,1.0
56,105,53,26,1.0
56,105,54,26,0.0
56,105,55,119,0.0
56,105,56,119,0.0
56,105,57,119,0.0
56,105,58,119,0.0
56,105,59,119,0.0
56,105,60,119,0.0
56,105,61,119,1.0
56,106,51,28,1.0
56,106,52,28,1.0
56,106,53,26,1.0
56,106,54,26,0.0
56,106,55,119,0.0
56,106,56,119,0.0
56,106,57,119,0.0
56,106,58,119,0.0
56,106,59,119,0.0
56,106,60,119,1.0
56,106,61,119,1.0
56,107,50,28,1.0
56,107,51,28,1.0
56,107,52,28,1.0
56,107,53,26,0.0
56,107,54,26,0.0
56,107,55,26,0.0
56,107,56,119,0.0
56,107,57,119,0.0
56,107,58,119,0.0
56,107,59,119,1.0
56,107,60,119,1.0
56,108,50,28,1.0
56,108,51,28,1.0
56,108,52,28,0.0
56,108,53,26,0.0
56,108,54,26,0.0
56,108,55,26,0.0
56,108,56,119,0.0
56,108,57,119,0.0
56,108,58,117,1.0
56,108,59,117,1.0
56,109,49,28,1.0
56,109,50,28,1.0
56,109,51,28,0.0
56,109,52,28,0.0
56,109,53,26,0.0
56,109,54,26,0.0
56,109,55,26,0.0
56,109,56,119,0.0
56,109,57,119,1.0
56,109,58,117,1.0
56,109,59,117,1.0
56,110,48,28,1.0
56,110,49,28,1.0
56,110,50,28,1.0
56,110,51,28,0.0
56,110,52,28,0.0
56,110,53,26,0.0
56,110,54,26,0.0
56,110,55,26,0.0
56,110,56,119,1.0
56,110,57,119,1.0
56,110,58,117,1.0
56,111,48,28,1.0
56,111,49,28,1.0
56,111,50,28,0.0
56,111,51,28,0.0
56,111,52,28,0.0
56,111,53,26,0.0
56,111,54,26,0.0
56,111,55,26,1.0
56,111,56,119,1.0
56,111,57,119,1.0
56,112,48,28,1.0
56,112,49,28,1.0
56,112,50,28,0.0
56,112,51,28,0.0
56,112,52,28,0.0
56,112,53,26,0.0
56,112,54,26,1.0
56,112,55,26,1.0
56,112,56,119,1.0
56,113,47,28,1.0
56,113,48,28,1.0
56,113,49,28,0.0
56,113,50,28,0.0
56,113,51,28,0.0
56,113,52,28,0.0
56,113,53,26,1.0
56,113,54,26,1.0
56,113,55,26,1.0
56,114,47,28,1.0
56,114,48,28,1.0
56,114,49,28,1.0
56,114,50,28,0.0
56,114,51,28,0.0
56,114,52,28,1.0
56,114,53,26,1.0
56,114,54,26,1.0
56,115,47,28,1.0
56,115,48,28,1.0
56,115,49,28,1.0
56,115,50,28,1.0
56,115,51,28,1.0
56,115,52,28,1.0
56,115,53,26,1.0
56,115,54,26,1.0
56,116,48,28,1.0
56,116,49,28,1.0
56,116,50,28,1.0
56,116,51,28,1.0
56,116,52,28,1.0
56,117,49,28,1.0
57,88,67,167,1.0
57,88,68,156,1.0
57,89,66,167,1.0
57,89,67,167,1.0
57,89,68,156,1.0
57,89,69,156,1.0
57,90,64,167,1.0
57,90,65,167,1.0
57,90,66,167,1.0
57,90,67,167,1.0
57,90,68,156,1.0
57,90,69,156,1.0
57,91,64,167,1.0
57,91,65,167,1.0
57,91,66,167,0.0
57,91,67,167,1.0
57,91,68,156,1.0
57,91,69,156,1.0
57,92,63,167,1.0
57,92,64,167,1.0
57,92,65,167,0.0
57,92,66,167,0.0
57,92,67,167,1.0
57,92,68,156,1.0
57,93,61,147,1.0
57,93,62,147,1.0
57,93,63,147,1.0
57,93,64,167,0.0
57,93,65,148,0.0
57,93,66,148,0.0
57,93,67,148,1.0
57,93,68,156,1.0
57,94,61,147,1.0
57,94,62,147,1.0
57,94,63,147,0.0
57,94,64,148,0.0
57,94,65,148,0.0
57,94,66,148,0.0
57,94,67,148,1.0
57,95,60,164,1.0
57,95,61,147,1.0
57,95,62,147,0.0
57,95,63,151,0.0
57,95,64,149,0.0
57,95,65,148,0.0
57,95,66,148,1.0
57,95,67,148,1.0
57,96,58,164,1.0
57,96,59,164,1.0
57,96,60,164,1.0
57,96,61,111,0.0
57,96,62,111,0.0
57,96,63,111,0.0
57,96,64,158,0.0
57,96,65,148,0.0
57,96,66,148,1.0
57,96,67,148,1.0
57,97,58,164,1.0
57,97,59,164,1.0
57,97,60,164,0.0
57,97,61,110,0.0
57,97,62,110,0.0
57,97,63,110,0.0
57,97,64,110,0.0
57,97,65,110,1.0
57,97,66,110,1.0
57,98,57,164,1.0
57,98,58,164,1.0
57,98,59,164,0.0
57,98,60,164,0.0
57,98,61,110,0.0
57,98,62,110,0.0
57,98,63,110,0.0
57,98,64,110,0.0
57,98,65,121,1.0
57,99,57,118,1.0
57,99,58,164,1.0
57,99,59,164,0.0
57,99,60,164,0.0
57,99,61,110,0.0
57,99,62,110,0.0
57,99,63,110,0.0
