,probe_ind,ant-post,step,gene_symbol
383,41473,anterior,2,CADM1
384,22832,anterior,2,LIX1
385,34235,anterior,2,MLPH
386,9779,anterior,2,SEMA3C
387,24512,anterior,2,OVCH1
388,43475,anterior,2,LINC00238
389,11984,anterior,2,TMEFF2
390,34958,anterior,2,NRG1
391,2728,anterior,2,JUN
392,53660,anterior,2,A_32_P171185
393,24066,anterior,2,DCBLD1
394,28520,anterior,2,C1QL1
395,45856,anterior,2,HES5
396,44851,anterior,2,ATP2B4
397,16253,anterior,2,DMRT3
398,39862,anterior,2,DGKG
399,48883,anterior,2,A_32_P163891
400,50053,posterior,2,A_24_P376139
401,10482,posterior,2,RCAN3
402,50853,posterior,2,A_24_P722248
403,26295,posterior,2,TRPM3
404,45893,posterior,2,GRIK1
405,5191,posterior,2,RAD51
406,43892,posterior,2,SEC14L1
407,30854,posterior,2,SV2C
408,22842,posterior,2,DACT2
409,2452,posterior,2,HTR2C
410,45896,posterior,2,GRIK1
411,33246,posterior,2,CHN2
412,52860,posterior,2,A_24_P535256
413,54121,posterior,2,A_32_P175042
414,32400,posterior,2,PTTG3
415,10481,posterior,2,RCAN3
416,8832,posterior,2,DOPEY2
417,2438,posterior,2,HTR2C
418,2444,posterior,2,HTR2C
419,28180,posterior,2,TAC1
420,20022,posterior,2,RERG
421,18370,posterior,2,BAIAP2L2
422,23780,posterior,2,SPATA19
423,15782,posterior,2,PNO1
424,34855,posterior,2,LOC642373
425,47638,posterior,2,A_32_P170997
426,45891,posterior,2,GRIK1
427,56148,posterior,2,A_32_P129406
428,2449,posterior,2,HTR2C
429,19909,posterior,2,NEXN
430,44544,posterior,2,ADORA2A
431,2434,posterior,2,HTR2C
432,2445,posterior,2,HTR2C
433,17115,posterior,2,EFHD2
434,2437,posterior,2,HTR2C
435,2464,posterior,2,HTR2C
436,2458,posterior,2,HTR2C
437,46738,posterior,2,HTR2C
438,2446,posterior,2,HTR2C
439,2443,posterior,2,HTR2C
440,1377,posterior,2,GABRA4
